graph_id,n_nodes,precision_A,precision_B,precision_delta,recall_A,recall_B,recall_delta,f1_A,f1_B,f1_delta,jaccard_A,jaccard_B,jaccard_delta,tp_A,tp_B,tp_delta,fp_A,fp_B,fp_delta,fn_A,fn_B,fn_delta
34591,9,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,0.7142857142857143,1.0,0.2857142857142857,0.5555555555555556,1.0,0.4444444444444444,5.0,7.0,2.0,2.0,0.0,-2.0,2.0,0.0,-2.0
25883,10,0.5,0.2857142857142857,-0.2142857142857143,0.5,0.25,-0.25,0.5,0.26666666666666666,-0.23333333333333334,0.3333333333333333,0.15384615384615385,-0.17948717948717946,4.0,2.0,-2.0,4.0,5.0,1.0,4.0,6.0,2.0
32894,9,0.7142857142857143,0.6666666666666666,-0.04761904761904767,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0.7142857142857143,0.6153846153846153,-0.098901098901099,0.5555555555555556,0.4444444444444444,-0.11111111111111116,5.0,4.0,-1.0,2.0,2.0,0.0,2.0,3.0,1.0
35929,9,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.5714285714285714,0.2857142857142857,-0.2857142857142857,0.4,0.16666666666666666,-0.23333333333333336,4.0,2.0,-2.0,3.0,5.0,2.0,3.0,5.0,2.0
38000,9,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,0.2857142857142857,1.0,0.7142857142857143,0.16666666666666666,1.0,0.8333333333333334,2.0,7.0,5.0,5.0,0.0,-5.0,5.0,0.0,-5.0
33120,9,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0.7142857142857143,0.42857142857142855,-0.28571428571428575,0.5555555555555556,0.2727272727272727,-0.2828282828282829,5.0,3.0,-2.0,2.0,4.0,2.0,2.0,4.0,2.0
35062,9,0.42857142857142855,0.3333333333333333,-0.09523809523809523,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.30769230769230765,-0.1208791208791209,0.2727272727272727,0.18181818181818182,-0.09090909090909088,3.0,2.0,-1.0,4.0,4.0,0.0,4.0,5.0,1.0
9145,10,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.2857142857142857,0.0,0.16666666666666666,0.16666666666666666,0.0,2.0,2.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0
45543,9,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.14285714285714285,0.2727272727272727,0.4,0.12727272727272732,3.0,4.0,1.0,4.0,3.0,-1.0,4.0,3.0,-1.0
38578,9,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.2727272727272727,0.16666666666666666,-0.10606060606060605,3.0,2.0,-1.0,4.0,5.0,1.0,4.0,5.0,1.0
41899,9,0.7142857142857143,0.2857142857142857,-0.4285714285714286,0.7142857142857143,0.2857142857142857,-0.4285714285714286,0.7142857142857143,0.2857142857142857,-0.4285714285714286,0.5555555555555556,0.16666666666666666,-0.38888888888888895,5.0,2.0,-3.0,2.0,5.0,3.0,2.0,5.0,3.0
11016,10,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.2727272727272727,0.16666666666666666,-0.10606060606060605,3.0,2.0,-1.0,4.0,5.0,1.0,4.0,5.0,1.0
17761,10,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.42857142857142855,0.7142857142857143,0.28571428571428575,0.2727272727272727,0.5555555555555556,0.2828282828282829,3.0,5.0,2.0,4.0,2.0,-2.0,4.0,2.0,-2.0
32963,9,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.2727272727272727,0.16666666666666666,-0.10606060606060605,3.0,2.0,-1.0,4.0,5.0,1.0,4.0,5.0,1.0
8026,10,0.2857142857142857,0.25,-0.0357142857142857,0.25,0.25,0.0,0.26666666666666666,0.25,-0.016666666666666663,0.15384615384615385,0.14285714285714285,-0.010989010989011005,2.0,2.0,0.0,5.0,6.0,1.0,6.0,6.0,0.0
22207,10,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.2857142857142857,0.14285714285714285,-0.14285714285714285,0.16666666666666666,0.07692307692307693,-0.08974358974358973,2.0,1.0,-1.0,5.0,6.0,1.0,5.0,6.0,1.0
4321,10,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.42857142857142855,0.2857142857142857,-0.14285714285714285,0.2727272727272727,0.16666666666666666,-0.10606060606060605,3.0,2.0,-1.0,4.0,5.0,1.0,4.0,5.0,1.0
34565,9,0.42857142857142855,0.5,0.07142857142857145,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,0.4615384615384615,0.03296703296703296,0.2727272727272727,0.3,0.027272727272727282,3.0,3.0,0.0,4.0,3.0,-1.0,4.0,4.0,0.0
33397,9,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.5714285714285714,0.42857142857142855,-0.14285714285714285,0.4,0.2727272727272727,-0.12727272727272732,4.0,3.0,-1.0,3.0,4.0,1.0,3.0,4.0,1.0
23574,10,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0.7142857142857143,0.5714285714285714,-0.1428571428571429,0.5555555555555556,0.4,-0.15555555555555556,5.0,4.0,-1.0,2.0,3.0,1.0,2.0,3.0,1.0
5842,10,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.07692307692307693,0.16666666666666666,0.08974358974358973,1.0,2.0,1.0,6.0,5.0,-1.0,6.0,5.0,-1.0
8244,10,0.375,0.2857142857142857,-0.0892857142857143,0.375,0.25,-0.125,0.375,0.26666666666666666,-0.10833333333333334,0.23076923076923078,0.15384615384615385,-0.07692307692307693,3.0,2.0,-1.0,5.0,5.0,0.0,5.0,6.0,1.0
